Company,Position,Skill,Location
씨알에스큐브(CRScube),웹 개발자(산업기능요원/전문연구요원 가능),"['HTML', 'JavaScript', 'Python', 'AWS', 'API', 'Spring Framework']",서울.한국
엘리오앤컴퍼니,프론트엔드 개발자 (신입),null,서울.한국
쏘마,Security Engineer,"['Python', 'Go', 'C++']",경기.한국
비트센싱,[100억↑투자] 차량용 RTOS BSP 개발 & AUTOSAR,"['C#', 'Python', 'C']",경기.한국
에이디알에프코리아,"RTL Engineer, SW 개발자, HW 개발자","['Git', 'Linux', 'C / C++', 'Python', 'C++', 'PCB 디자인', 'RTL 설계', 'RTL 코딩', 'PCB 레이아웃 설계', 'FPGA 프로토 타이핑']",경기.한국
에프앤가이드,AI팀 (금융ML/DL 모델 개발자),"['C#', 'SQL']",서울.한국
아임잇,웹개발자(JAVA) SI/SM,"['Java', 'WebSphere MQ']",서울.한국
아임잇,EAI SM/SI,"['Java', 'WebSphere MQ']",서울.한국
아임잇,RPA SM/SI,"['Java', 'WebSphere MQ']",서울.한국
인스피언,[청년디지털일자리]클라우드 EDI 서비스 개발자,null,서울.한국
팬마음,"[병역특례 보충역, 현역] Node.js Back-End 개발자",null,서울.한국
팬마음,"[병역특례 보충역, 현역] 웹 프론트엔드 개발자",null,서울.한국
트릿지,[1500억↑투자] Junior Backend Engineer,"['Python', 'SQL', 'Google Analytics']",서울.한국
그린랩스,팜모닝 백엔드 엔지니어,null,서울.한국
블루버드(Bluebird),결제 단말기 개발자 (전문연구요원가능),"['Git', 'Android', 'Linux', 'React', 'C / C++', 'HTML', 'Java', '펌웨어']",서울.한국
블루버드(Bluebird),[전문연구요원] Android framework 개발,"['Git', 'Android', 'Linux', 'React', 'C / C++', 'HTML', 'Java', '펌웨어']",서울.한국
블루버드(Bluebird),안드로이드 개발자,null,서울.한국
에이엠스퀘어,AI Engineer (Field Engineer),"['Git', 'Slack', 'Linux', 'Pytorch', 'Tensorflow', 'Python', 'SQL', 'Docker', 'OpenCV']",경북.한국
에이엠스퀘어,[전문연구요원] 머신러닝 엔지니어,"['Git', 'Slack', 'Linux', 'Pytorch', 'Tensorflow', 'Python', 'SQL', 'Docker', 'OpenCV']",경기.한국
