Company,Position,Skill,Location
엑스이허브,서버/백엔드 프론트엔드 웹 풀스택,"['C#', 'WPF', 'Unity', 'flutter', 'ASP.NET']",경력 무관 서울 강남구
아이트럭,프론트엔드 TypeScript ReactJS 외 6개,null,경력 무관 서울 서초구
아이트럭,서버/백엔드 Node.js TypeScript 외 7개,"['TypeScript', 'ReactJS', 'Next.js', 'Redux.js', 'Redux-Thunk', 'Sass(SCSS)', 'Azure Emotion', 'Material-UI']",경력 무관 서울 서초구
이노솔루션,서버/백엔드 프론트엔드 HTML 외 6개,"['Node.js', 'TypeScript', 'REST API', 'ExpressJS', 'MySQL', 'Sequelize.js', 'AWS EC2', 'AWS RDS', 'AWS S3']",경력 무관 서울 마포구
비바리퍼블리카(토스),서버/백엔드 프론트엔드 웹 풀스택 외 14개,"['HTML', 'JavaScript', 'jQuery', 'MySQL', 'PHP', 'CSS', 'CodeIgniter']",경력 무관 서울 강남구
넥슨코리아,서버/백엔드 게임 서버 Go 외 6개,"['Java', 'JSP', 'MyBatis', 'MySQL', 'Oracle', 'JavaScript', 'jQuery', 'Docker', 'Kubernetes', 'Microservice Architecture', 'Linux', 'SQL', 'Redis', 'Apache Kafka']",경력 무관 경기 성남시
릴리커버,프론트엔드 웹 풀스택 JavaScript 외 7개,"['Go', 'Redis', 'Python', 'Elasticsearch', 'AWS ECS', 'MySQL', 'Terraform']",경력 무관 대구 동구
릴리커버,서버/백엔드 인공지능(AI) 데이터 엔지니어링 외 7개,"['JavaScript', 'Vue.js', 'REST API', 'HTML', 'HTML5', 'CSS', 'CSS3', 'Git']",경력 무관 대구 동구
루미르,서버/백엔드 프론트엔드 응용 프로그램 외 4개,"['Python', 'MariaDB', 'REST API', 'PostgreSQL', 'Git', 'Tensorflow', 'Flask']",경력 무관 경기 용인시
컨워스,서버/백엔드 프론트엔드 OpenGL 외 1개,"['Python', 'C', 'C++', 'Java']",경력 무관 서울 서대문구
컨워스,프론트엔드 HTML CSS 외 4개,"['OpenGL', 'WebGL']",경력 무관 서울 서대문구
브리치,서버/백엔드 프론트엔드 웹 풀스택 외 10개,"['HTML', 'CSS', 'JavaScript', 'ReactJS', 'jQuery', 'Node.js']",경력 무관 서울 강남구
핀크,서버/백엔드 프론트엔드 웹 풀스택 외 10개,"['AngularJS', 'Git', 'HTML', 'Java', 'JavaScript', 'MySQL', 'PHP', 'Python', 'ReactJS', 'Vue.js']",경력 무관 서울 중구
핀크,서버/백엔드 프론트엔드 웹 풀스택 외 11개,"['Git', 'Java', 'JavaScript', 'Spring', 'MySQL', 'jQuery', 'Python', 'ReactJS', 'Redis', 'PHP']",경력 무관 서울 중구
코멘토,서버/백엔드 PHP Laravel 외 1개,"['Git', 'Java', 'JavaScript', 'jQuery', 'MySQL', 'Node.js', 'PHP', 'Python', 'ReactJS', 'Spring', 'Vue.js']",경력 무관 서울 중구
보이저엑스,서버/백엔드 프론트엔드 인공지능(AI) 외 8개,"['PHP', 'Laravel', 'MongoDB']",경력 무관 서울 서초구
밀리만코리아,서버/백엔드 응용 프로그램,"['Python', 'Node.js', 'Docker', 'Git', 'JavaScript', 'CSS', 'ReactJS', 'Webpack']",경력 무관 서울 중구
밀리만코리아,프론트엔드 응용 프로그램,null,경력 무관 서울 중구
이성,서버/백엔드 시스템 소프트웨어 응용 프로그램 외 3개,null,경력 무관 서울시 금천구
데이블,프론트엔드 웹 풀스택 시스템 소프트웨어 외 3개,"['Linux', 'Python', 'Node.js']",경력 무관 서울 강남구
쓰리에스소프트,서버/백엔드 시스템/네트워크 시스템 소프트웨어,"['Python', 'MySQL', 'Redis']",경력 무관 서울 서초구
솔트룩스,서버/백엔드 프론트엔드 인공지능(AI) 외 3개,null,경력 무관 서울특별시 강남구
Xinics,서버/백엔드 웹 풀스택 MySQL 외 2개,"['Java', 'Deep Learning', 'NLP']",경력 무관 서울특별시 구로구
